timestamp,Temperature,Relative Humidity ,Wind Speed,Wind Direction,Basel Cloud Cover Total,Shortwave Radiation,Soil Temperature
20131201T1100,0.25052866,91,4.73506,351.25385,100,159.31,2.9900208
20131201T1200,2.0605285,86,6.8399997,360,100,221.61,4.0599976
20131201T1300,4.2105284,73,7.127636,44.999985,0,334.63998,5.4599915
20131201T1400,6.9005284,57,16.42247,63.996643,0,321.29,6.5700073
20131201T1500,7.1205287,58,18.532135,60.945396,0,247.42,7.1400146
20131201T1600,6.4605284,62,12.984975,46.123276,0,137.06,6.9100037
20131201T1700,4.8505287,71,10.296251,53.53076,0,20.47,5.9100037
20131201T1800,3.7705286,69,8.707238,82.874985,0,0,4.8900146
20131201T1900,2.5705285,70,7.5599995,89.99999,0,0,4.01001
20131201T2000,1.2805287,78,4.68,89.99999,0,0,3.230011
20131201T2100,0.5205287,87,2.5455842,81.869896,5,0,2.5500183
20131201T2200,0.12052866,91,4.1046314,52.125,8,0,2
20131201T2300,0.25052866,91,6.6087217,60.64225,0,0,1.5700073
20131202T0000,0.5705287,86,8.311245,72.34988,0,0,1.2400208
20131202T0100,2.1005285,75,11.165805,69.22774,0,0,1.0500183
20131202T0200,1.9005287,76,10.883676,55.784294,0,0,1.0299988
20131202T0300,1.0905286,81,8.714677,38.290146,3,0,0.89001465
20131202T0400,0.40052867,88,6.989936,34.508514,0,0,0.64001465
20131202T0500,1.4905287,81,16.520823,78.69006,0,0,0.94000244
20131202T0600,1.9405286,78,14.372974,67.9321,0.6,0,0.95999146
20131202T0700,1.7605287,78,11.983188,57.26477,0,0,0.89001465
20131202T0800,1.7505287,78,9.931042,43.53119,3.6000001,0,0.7000122
20131202T0900,1.6505287,80,8.78872,34.99202,0.6,60.52,1
20131202T1000,3.7205286,71,13.202726,64.13365,0.6,189.56999,2.2000122
20131202T1100,6.3405285,59,22.657131,72.42874,3,284.8,4.029999
20131202T1200,6.9605284,59,23.006226,69.86369,4.8,344.43,5.7099915
20131202T1300,7.790529,55,23.157824,78.3407,3,360.44998,7.0899963
20131202T1400,8.200529,54,25.60053,86.775475,0.6,331.08,7.970001
20131202T1500,7.7705283,56,25.199999,89.99999,0,258.99,8.200012
20131202T1600,6.7405286,59,20.929596,93.945175,0,137.95,7.6400146
20131202T1700,5.1905284,64,16.87398,101.0702,0,20.47,6.450012
20131202T1800,3.8705285,66,17.10284,120.34325,0,0,5.279999
20131202T1900,3.1205285,64,18.472595,123.07068,0,0,4.3099976
20131202T2000,2.3205285,68,16.489416,126.11934,0,0,3.5200195
20131202T2100,1.6005287,70,17.429354,128.29016,0,0,2.830017
20131202T2200,1.1605287,72,20.883102,125.88214,0,0,2.2700195
20131202T2300,0.55052865,76,22.288042,121.12247,0,0,1.7900085
20131203T0000,0.14052865,77,21.749483,118.68615,0,0,1.3399963
20131203T0100,-0.34947133,79,21.485697,121.29304,0,0,0.94000244
20131203T0200,-0.88947135,81,18.278645,122.125,0.90000004,0,0.5299988
20131203T0300,-1.3294713,81,13.70839,119.9315,7,0,0.14001465
20131203T0400,-1.5594714,80,9.339208,117.55281,38,0,-0.20999146
20131203T0500,-0.21947134,96,2.5455842,135,4.2000003,0,0.17001343
20131203T0600,-0.52947134,95,3.396233,122.00538,3.3000002,0,-0.1000061
20131203T0700,-0.7394713,94,4.39436,124.99202,2.4,0,-0.3500061
20131203T0800,-0.9294713,93,4.6938257,122.47119,2,0,-0.5799866
20131203T0900,-0.5494713,89,6.193674,125.537674,2,57.85,-0.269989
20131203T1000,0.6305287,81,7.4128532,119.054596,0.3,187.79,0.8800049
20131203T1100,2.2605286,71,6.725354,105.5241,0,277.68,2.4200134
